Male,Female,Total_Beneficiaries,# of HHs,State,TS,TS_PCODE,Total_amount
0,0,0,0,,Lawksawk,MMR014008,0
0,0,0,0,,Lay Shi,MMR005035,0
0,0,0,0,,Lemyethna,MMR017010,0
0,0,0,0,,Lewe,MMR018007,0
0,0,0,0,,Loikaw,MMR002001,0
0,0,0,0,,Loilen,MMR014011,0
0,0,0,0,,Mabein,MMR015018,0
0,0,0,0,,Machanbaw,MMR001016,0
0,0,0,0,,Madaya,MMR010009,0
0,0,0,0,,Madupi,MMR004007,0
0,0,0,0,,Magway,MMR009001,0
0,0,0,0,,Mahaaungmyay,MMR010003,0
0,0,0,0,,Mahlaing,MMR010029,0
0,0,0,0,,Matman,MMR015024,0
0,0,0,0,,Maubin,MMR017019,0
0,0,0,0,,Mawkmai,MMR014020,0
0,0,0,0,,Mawlaik,MMR005031,0
0,0,0,0,,Mawlamyine,MMR011001,0
0,0,0,0,,Mawlamyinegyun,MMR017018,0
0,0,0,0,,Mayangone,MMR013042,0
0,0,0,0,,Meiktila,MMR010028,0
0,0,0,0,,Mese,MMR002007,0
0,0,0,0,,Mindon,MMR009014,0
0,0,0,0,,Mingaladon,MMR013002,0
0,0,0,0,,Mingalartaungnyunt,MMR013022,0
0,0,0,0,,Mingin,MMR005029,0
0,0,0,0,,Mogoke,MMR010011,0
0,0,0,0,,Monghpyak,MMR016010,0
0,0,0,0,,Monghsat,MMR016006,0
0,0,0,0,,Mongkaing,MMR014016,0
0,0,0,0,,Mongkhet,MMR016002,0
0,0,0,0,,Mongla,MMR016005,0
0,0,0,0,,Mongmao,MMR015008,0
0,0,0,0,,Mongmit,MMR015017,0
0,0,0,0,,Mongnai,MMR014019,0
0,0,0,0,,Mongpan,MMR014021,0
0,0,0,0,,Mongping,MMR016007,0
0,0,0,0,,Mongton,MMR016008,0
0,0,0,0,,Mongyai,MMR015003,0
0,0,0,0,,Mongyang,MMR016003,0
0,0,0,0,,Mongyawng,MMR016011,0
0,0,0,0,,Monywa,MMR005012,0
0,0,0,0,,Mrauk-U,MMR012003,0
0,0,0,0,,Mudon,MMR011005,0
