COUNTRY,ISO3,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Food Security,GBV,Vulnerable Groups,VULNERABILITY (Hazard-independent),Movements,Behaviour,Demographic and co-morbidity,COVID-19 VULNERABILITY,VULNERABILITY,Governance,Institutional,Access to health care,physical Infrastructure,LACK OF COPING CAPACITY (Hazard-independent),COVID-19 LACK OF COPING CAPACITY,LACK OF COPING CAPACITY,INFORM COVID-19 RISK,COVID-19 RISK CLASS,Rank,Human,Children U5,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Population living in slums (% of urban population),Household size,Population,P2P,Covid-19 Hazard & Exposure,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Physicians Density,Hospital bed,Health system capacity,Coverage of DTP3 vaccine,Coverage of measles-containing vaccine,Coverage of pneumococcal conjugate vaccine,Immunization coverage,Per capita public and private expenditure on health care,Maternal Mortality Ratio,Access to health care Index,INFORM Infrastructure,IHR,Operational readiness index,Health capacity specific to Covid-19,Covid-19 Lack of coping capacity,Infrastructure,Human Development Index,Multidimensional Poverty Index,Gender Inequality Index,Gini Index,Inequality,Total public Aid (M US$),Public Aid per capita (US$),Public Aid per capita (US$),Net ODA received (% of GNI),Volume of remittances,Economic Dependency Index,INFORM Socio-Economic Vulnerability,"Total Uprooted people (1,000 people)",Uprooted people (total population),Total/Pop,Total Uprooted people (percentage of the total population),Uprooted people,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population",HIV,Incidence of Tuberculosis,"Malaria incidence per 1,000 population at risk",People requiring interventions against neglected tropical diseases (% of total population),People requiring interventions against neglected tropical diseases,Health Conditions,Food Availability Score,Food Utilization Score,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence,Attitudes towards violence,GBV,INFORM Vulnerable Groups,International tourism(number of arrivals),International tourism(number of arrivals),Air transport(passengers carried),Point of entry,International movements,Access to Cities,Road density,Road density,Internal movements,Movements,Adult literacy rate,Mobile cellular subscriptions,Internet users,Awareness,Trust,Demographic and Co-morbidities,Covid-19 Vulnerability
Jordan,JOR,4.1,2.2,4.2,5.8,3.6,10,0.1,3.6,2.6,5.8,4.8,4.6,4.2,1.6,3,4,5,5,3.8,3.8,4.4,5.1,4.8,4.3,Medium,80,3.5,10.765,0.3,0.2,,0.3,6.8,4.1,9.1,2.3,7.7,6,4.1,4.1,5.2,4.8,5,5,4.1,8.4,6.25,0,0,,0,8.5,0.5,3.8,3.8,5.2,5,5.1,5.1,3.8,3.5,0.7,6.2,2.2,4.2,18587.25785,1840.013401,10,4,3.5,5.8,3.6,3124.175,10,0.309272294,10,10,0.2,,0.2,0.1,,1.53E-05,0,0.1,4.8,2.4,3,2.2,2.6,5.8,6.3,6.5,6.3,4,5.6,3.7,32.66501464,3.2,3.5,4.6,0.4,5.8,2.4,2.9,5.4,1.6,3
Kazakhstan,KAZ,2.6,1.3,1.7,0,1.1,0,0.5,0.8,1.6,0.7,0.9,4.9,4.6,3.6,4.2,2.7,5.8,5.8,2.3,2.3,4.3,3.95,4.1,3.1,Low,156,1.7,10.499,0.2,0.7,0.1,0.3,2.8,3,5.7,,3.7,3.8,2.6,2.6,6.6,5,5.8,5.8,1.9,1.6,1.75,0,0,0.2,0.066666667,7.3,0.1,2.3,2.3,2.9,5,3.95,3.95,2.3,1.7,0.8,2.7,0.6,1.7,15.23,0.82096106,0,0,0.1,0,1.1,0.769,0,4.15E-05,0,0,0.4,1.1,0.75,1.2,0,5.39E-08,0,0.5,1.6,0,,1.6,1.6,0.7,7.1,7.2,7.1,10,8.1,2.6,5.926584435,0.5,1.6,4.9,0,3,8.3,3.8,5.4,3.6,4.2
Kenya,KEN,6,7.5,5.7,1.9,5.7,7.7,4.6,7.5,5.4,6.5,6.1,3.4,6.5,0.8,2.9,4.7,6.5,6.5,7.1,7.1,6.8,5.75,6.3,5.6,High,37,6.4,13.333,7.9,6.8,7.5,7.4,6.5,8.1,2.7,5.2,4.1,5.3,6,6,7.2,5.8,6.5,6.5,9.5,8.4,8.95,2.9,10,4.7,5.866666667,9.7,3.8,7.1,7.1,6.5,5,5.75,5.75,7.1,6.4,8.3,7.3,4,5.7,7570.7092,144.0011023,2.9,1.9,1,1.9,5.7,663.65,9.4,0.012623168,6,7.7,10,6.5,8.25,5.8,1.8,0.221137241,2.5,4.6,6.9,8.1,5.6,5.2,5.4,6.5,6.9,5.3,6.9,4,5.4,1.6,10.5422216,1,1.3,3.4,3.7,5.3,8.6,5.9,7.1,0.8,2.9
Kiribati,KIR,5.9,5.5,3,7.7,5.4,0,8.8,0.6,8,5.7,5.6,5.9,7.7,5.6,6.2,5.9,5.6,5.6,5.3,5.3,5.5,6.2,5.9,5.9,High,22,5.5,12.72,5.8,4.7,,5.3,7.2,5.9,5.4,,,6.2,5.9,5.9,,5.6,5.6,5.6,9.5,7.8,8.65,1.5,3.4,1.4,2.1,9.3,1,5.3,5.3,4.9,7.5,6.2,6.2,5.3,5.5,,,3,3,98.59603,838.3445854,10,10,3.2,7.7,5.4,0,0,0,0,0,,,,7.5,,1,10,8.8,1.2,0,8,,8,5.7,2.1,0,2.1,8,3.4,7.2,92.59259259,9.3,8.3,5.9,,7.7,,7.7,,5.6,6.2
Korea DPR,PRK,3.9,8.4,,0.8,5.9,0,3.9,9.4,,6,6,4.5,3.3,5.6,4.8,5.4,8.2,8.2,0.6,0.6,5.6,4.35,5,4.7,Medium,67,8.4,6.793,1.9,0.9,,1.4,7.8,1.7,6.2,,4.8,5.1,3.9,3.9,8.3,8.1,8.2,8.2,0.8,0,0.4,0.3,0.2,,0.25,,1,0.6,0.6,3.7,5,4.35,4.35,0.6,8.4,,,,,964.42121,37.57559702,0.8,,,0.8,5.9,0,0,0,0,0,,,,9.3,0,0.216431224,2.4,3.9,8.8,10,,,,6,2.5,,2.5,6,4.3,6.3,29.06735321,2.8,4.6,4.5,0,9.5,0.5,3.3,,5.6,4.8
Korea Republic of,KOR,3.9,0,1.3,0.1,0.4,3.6,0.4,1,2.2,1.9,1.2,8.3,4.7,7.6,7.1,4.8,3.4,3.4,0.8,0.8,2.2,0.3,1.3,2.9,Low,167,0,3.845,0,0,,0,9.1,0.5,8.1,,,5.9,3.9,3.9,4.1,2.6,3.4,3.4,4.1,0,2.05,0.2,0.3,0.2,0.233333333,1,0.1,0.8,0.8,0.6,0,0.3,0.3,0.8,0,,0.8,1.7,1.3,4.05135,0.079088816,0,,0.1,0.1,0.4,22.739,4.5,0.000443902,2.6,3.6,,,,1.3,0,5.86E-08,0,0.4,2,0,,2.2,2.2,1.9,9.9,7.8,9.9,8,8.6,5.9,102.9866117,10,8,8.3,,3.6,0.2,1.9,7.5,7.6,7.1
Kuwait,KWT,4.9,1.8,3.3,0,1.7,1.6,0.3,1,4.6,2,1.9,5.8,4.9,3.2,4.3,3.2,5.6,5.6,1.5,1.5,3.8,3.45,3.6,3.8,Medium,112,1.8,7.061,0,0,,0,7.9,4,10,,,7.3,4.9,4.9,6,5.2,5.6,5.6,3.6,7.5,5.55,0,0,0,0,0.3,0.1,1.5,1.5,4.4,2.5,3.45,3.45,1.5,1.8,,3.3,,3.3,-73.09278,-17.37376806,0,,0,0,1.7,1.654,0.7,0.000393147,2.5,1.6,0.2,0.3,0.25,0.5,,1.43E-06,0,0.3,1.9,0,,4.6,4.6,2,7,,7,6,6.5,4.9,52.18855219,5.2,5.1,5.8,0.8,1.5,6.6,3,6.7,3.2,4.3
Kyrgyzstan,KGZ,3.1,4,2.9,4.8,3.9,0.8,0.8,2.4,3.9,2.1,3.1,3.9,5.3,1.6,3.1,3.1,6.6,6.6,4,4,5.4,5.9,5.7,3.8,Medium,112,4.5,12.042,0.4,2.1,1.1,1.2,5.1,5,3.6,1.1,5.5,4.1,3.1,3.1,7,6.2,6.6,6.6,5.3,4.4,4.85,1.2,0.5,1.9,1.2,9.4,0.7,4,4,4.3,7.5,5.9,5.9,4,4.5,3.4,5.1,0.6,2.9,300.07219,46.77044246,0.9,3.5,10,4.8,3.9,0.442,0,6.89E-05,1.6,0.8,0.4,0.6,0.5,2.6,0,0.017710043,0.2,0.8,4,0.7,3.7,4.1,3.9,2.1,4.6,6.6,4.6,6,5.7,2.3,19.81230448,1.9,2.1,3.9,0.1,3.2,7.8,3.7,6.9,1.6,3.1
Lao PDR,LAO,4.1,6.8,4.6,1.6,5,0,1.7,4.9,4.2,2.9,4,4.2,4.7,2,3.2,3.6,6.7,6.7,5.7,5.7,6.2,7,6.6,4.6,Medium,73,5.9,11.079,2.8,3,5,3.6,5,6.8,3.5,2.3,,4.4,4.1,4.1,7.1,6.3,6.7,6.7,8.8,8.2,8.5,2.4,,2.7,2.55,9.6,2.1,5.7,5.7,6.5,7.5,7,7,5.7,5.9,7.5,6.2,2.9,4.6,837.30312,116.7875387,2.3,2.2,0.4,1.6,5,0,0,0,0,0,0.6,,0.6,3.1,0.1,0.272405884,3,1.7,5.9,3.8,1.2,7.2,4.2,2.9,5.2,6.3,5.2,4,5.2,5.2,10.83188908,1,3.1,4.2,3.1,7.6,1.9,4.2,5.2,2,3.2
Latvia,LVA,2.4,0.9,2.3,0.6,1.2,1.3,0.7,1.4,0.75,1,1.1,7.2,5.1,10,8.1,5.6,3.7,3.7,2.2,2.2,3,2.5,2.8,3.4,Low,139,0.9,5.901,0.9,0.2,,0.6,5,0,6.8,,1.4,3.3,2.4,2.4,4.4,2.9,3.7,3.7,2,2.8,2.4,0.2,1.7,2,1.3,4.8,0.2,2.2,2.2,2.5,2.5,2.5,2.5,2.2,0.9,,2.3,2.3,2.3,0.15253,0.079995175,0,,1.2,0.6,1.2,0.728,0,0.000381803,2.5,1.3,1.4,,1.4,0.6,,9.96E-06,0,0.7,2.7,0,1.4,0.1,0.75,1,6.5,5.7,6.5,8,6.7,6.1,90.03215434,9,7.6,7.2,0,4.8,2.4,2.4,7.8,10,8.1
Lebanon,LBN,4.5,3.4,3.3,5.3,3.9,10,0.1,3.4,5.4,6.3,5.2,6.2,7,4.4,5.5,5.4,6.8,6.8,4.2,4.2,5.7,4.6,5.2,5,High,56,3.4,8.634,0.2,1.2,,0.7,9.4,1.5,8.9,5.9,,6.4,4.5,4.5,7.2,6.3,6.8,6.8,4.3,6.5,5.4,3.4,5.3,5.3,4.666666667,6.3,0.3,4.2,4.2,4.2,5,4.6,4.6,4.2,3.4,,4.8,1.7,3.3,25439.88571,3710.759268,10,1.7,4.1,5.3,3.9,1477.049,10,0.21544803,10,10,0.2,0.1,0.15,0.2,,1.46E-07,0,0.1,4.8,2,,5.4,5.4,6.3,6.2,5.7,6.2,2,4.6,5.3,107.5268817,10,7.7,6.2,1.1,6.9,7.3,5.1,8.9,4.4,5.5
Lesotho,LSO,5.5,7.8,7.3,4.6,6.9,0,7.3,3.8,4.6,4.4,5.8,3.3,6.2,6.4,5.6,5.7,6.4,6.4,6.4,6.4,6.4,7.1,6.8,6,High,19,7.6,11.902,6.4,5.2,9.8,7.1,6.1,4.6,2.8,6.6,3.4,4.7,5.5,5.5,6,6.7,6.4,6.4,,8.5,8.5,1,2.9,1,1.633333333,9.3,6,6.4,6.4,6.7,7.5,7.1,7.1,6.4,7.6,8,7.3,7.3,7.3,323.75275,152.3350948,3,3.2,7.7,4.6,6.9,0.095,0,4.47E-05,0,0,10,10,10,10,,0.182364381,2,7.3,4.9,2.7,,4.6,4.6,4.4,,5.1,,0,2.6,6,18.11594203,1.7,3.9,3.3,4.5,4.4,9.3,6.1,6.3,6.4,5.6
Liberia,LBR,7,9,5.7,6,7.4,3.4,4.8,8.3,6.5,6.1,6.8,4.4,7.4,0.4,3.2,5.3,7.5,7.5,7.2,7.2,7.4,5.2,6.4,6.2,High,11,8.7,14.788,9.2,4.5,9.9,7.9,5.7,6.7,5.1,7.8,7.4,6.5,7,7,7.2,7.7,7.5,7.5,9.9,9.1,9.5,2.2,,2.2,2.2,9.7,7.3,7.2,7.2,5.4,5,5.2,5.2,7.2,8.7,9.3,8.7,2.6,5.7,791.20085,160.2472995,3.2,10,4.7,6,7.4,8.261,3.1,0.001673157,3.6,3.4,3.2,3,3.1,5.6,4.8,0.524696124,5.8,4.8,6.5,10,7.7,5.3,6.5,6.1,,,,6,6,4.8,9.032392027,0.8,2.8,4.4,8.4,7.4,8,7.9,6.9,0.4,3.2
Libya,LBY,3,3.5,2.3,5.2,3.6,8.8,0.4,1.7,3,4.5,4.1,3.1,5.4,3.2,3.7,3.9,8.5,8.5,3.6,3.6,6.7,6.7,6.7,4.3,Medium,80,3.8,9.339,0,0.2,,0.1,1.9,3.7,8,,,4.5,3,3,8.2,8.7,8.5,8.5,4.6,5.4,5,0.5,0.8,0.8,0.7,8,0.8,3.6,3.6,5.9,7.5,6.7,6.7,3.6,3.8,3.2,2.3,,2.3,3379.93954,498.7035012,10,0.4,,5.2,3.6,411.97,8.7,0.060785372,8.8,8.8,,,,0.7,,0.000418151,0,0.4,1.5,1.8,,3,3,4.5,4.9,,4.9,0,2.5,6.8,3.523648226,0.3,3.6,3.1,,5.6,0.2,2.9,7.9,3.2,3.7
Liechtenstein,LIE,1.9,0,,0,0,2.6,,0.8,,1.7,0.9,4.9,3.1,,4,2.6,1.5,1.5,,,1.5,,1.5,1.9,Very Low,189,0,,0,0,,0,7.9,0.9,1.4,,0.8,2.8,1.9,1.9,,1.5,1.5,1.5,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,,0,0,0.245,0,0.006443977,5.1,2.6,,,,,,,,,1.6,0,,,,1.7,,2.1,,,2.1,5.2,687.5,10,7.6,4.9,,3.9,2.2,3.1,,,4
Lithuania,LTU,2.4,0.6,2.4,0.5,1,2,0.5,0.8,0.6,1,1,6.5,3.9,10,7.6,5.2,3.5,3.5,1.4,1.4,2.5,0.9,1.7,2.8,Low,168,0.6,5.334,0.7,0.4,,0.6,5.5,0,6.8,,1,3.3,2.4,2.4,4,2.9,3.5,3.5,0,0.9,0.45,0.8,1.2,2.9,1.633333333,3.5,0.1,1.4,1.4,1.8,0,0.9,0.9,1.4,0.6,,1.7,3.1,2.4,0,0,0,,0.9,0.5,1,2.011,1,0.000728721,3,2,0.4,0.8,0.6,0.9,,2.07E-05,0,0.5,1.6,0,1.1,0.1,0.6,1,1,6,1,6,4.3,7.1,140.4091011,10,8.6,6.5,0,1.9,0.2,0.7,7,10,7.6
Luembourg,LU,3.8,0,1.6,0.5,0.5,3.4,0.3,1.1,0.3,1.4,1,6,4.3,7.6,6.4,4.2,1.7,1.7,1.1,1.1,1.4,2.45,1.9,3.1,Low,156,0,5.374,0.3,0,,0.2,8,4.3,9.1,,1,5.6,3.8,3.8,2,1.4,1.7,1.7,2.4,4,3.2,0,2.2,0.7,0.966666667,0,0.1,1.1,1.1,2.4,2.5,2.45,2.45,1.1,0,,1,2.2,1.6,-11.93181,-19.37831517,0,,1,0.5,0.5,3.531,1.8,0.005734656,4.9,3.4,,0.7,0.7,0.1,,3.25E-06,0,0.3,2.1,0,0.5,0.1,0.3,1.4,5.8,5,5.8,6,5.6,2.6,540.5405405,10,6.3,6,,3.5,9,6.3,2.3,7.6,6.4
Madagascar,MDG,6.9,9,4.4,1.8,6.1,1.4,4,9.1,5.6,5.9,6,3.1,7.5,0,2.7,4.6,7.5,7.5,6.9,6.9,7.2,7.45,7.3,6.1,High,15,7.6,14.916,9.9,7.6,4.9,7.5,5.5,9,3.7,7.5,7.4,6.6,6.9,6.9,7.6,7.3,7.5,7.5,9.5,9.9,9.7,4.2,,4.2,4.2,9.9,3.7,6.9,6.9,7.4,7.5,7.45,7.45,6.9,7.6,9.8,,4.4,4.4,1372.35648,50.88586558,1,3.4,1,1.8,6.1,2.15,1.1,7.97E-05,1.7,1.4,0.4,1.4,0.9,4.3,2.3,0.749584138,8.3,4,8.1,10,,5.6,5.6,5.9,4.3,3.5,4.3,2,3.3,5.1,7.910031984,0.7,2.9,3.1,4.8,8.2,8.9,7.3,7.7,0,2.7
Malawi,MWI,6.6,8.6,6.6,4.5,7.1,5,6.3,4.5,3.6,4.9,6.1,3,7.1,1.2,3.1,4.8,6.7,6.7,6.5,6.5,6.6,5.4,6,5.7,High,31,8.3,15.444,8.2,5.2,9.1,7.5,7.6,7.9,1.7,7.4,6.3,6.2,6.6,6.6,6.9,6.5,6.7,6.7,10,8.5,9.25,1.9,5.4,1.9,3.066666667,9.8,3.9,6.5,6.5,5.8,5,5.4,5.4,6.5,8.3,8.8,8.2,4.9,6.6,2462.04602,132.1637873,2.6,10,0.9,4.5,7.1,55.963,5.8,0.00300412,4.2,5,10,10,10,2.4,5.8,0.631915541,7,6.3,4.7,4.2,5.3,1.9,3.6,4.9,0.1,4.8,0.1,2,2.3,5.6,19.09206619,1.8,3.7,3,6.7,8.3,2,5.7,8.5,1.2,3.1
Malaysia,MYS,4.2,1.9,3.9,0.1,2,6.1,0.7,1.7,5.1,3.7,2.9,5.9,3.7,3.6,4.2,3.6,3.8,3.8,3.5,3.5,3.7,0.25,2.1,3.2,Low,153,1.9,8.201,0,0.6,,0.3,6.6,4.3,7.6,,,6.2,4.2,4.2,4.7,2.8,3.8,3.8,6.2,7.8,7,0,0,,0,6.6,0.3,3.5,3.5,0.5,0,0.25,0.25,3.5,1.9,,3.7,4,3.9,-73.88698,-2.312596806,0,0,0.2,0.1,2,163.111,7.4,0.005105229,4.8,6.1,0.8,1.4,1.1,1.7,0,0.002599141,0,0.7,3.3,0,,5.1,5.1,3.7,9.5,8.5,9.5,10,9.3,2.8,21.00136965,2,2.4,5.9,1.3,3.4,4.1,2.9,4.5,3.6,4.2
Maldives,MDV,4.8,2.7,4.2,0.7,2.6,0,0.3,3.1,1.2,1.2,1.9,5.2,3.7,1.6,3,2.5,6.6,6.6,2.8,2.8,5,5.3,5.2,4,Medium,98,3.6,6.88,0.1,0.1,0.4,0.2,10,9.8,4,3.6,8.3,7.1,4.8,4.8,7.1,6,6.6,6.6,7.4,4.7,6.05,0,0,,0,4.6,0.6,2.8,2.8,5.6,5,5.3,5.3,2.8,3.6,1.6,4.9,3.4,4.2,15.47052,29.13704876,0.6,1.6,0,0.7,2.6,0,0,0,0,0,0.2,,0.2,0.7,,0.001890925,0,0.3,4.4,1.8,1.2,,1.2,1.2,5.1,5.4,5.1,4,4.8,1.2,226.6666667,10,5.6,5.2,0.5,1.7,8.9,3.7,,1.6,3
Mali,MLI,6,9.7,5.5,5,7.5,7,4.3,0.8,6.9,5.2,6.5,3.9,5.9,0,2.5,4.8,7.1,7.1,8.1,8.1,7.6,5.1,6.5,5.7,High,31,9.5,17.968,6.7,3.6,4.8,5,4,9.8,4.2,5.2,9.2,6.5,6,6,7.1,7,7.1,7.1,9.7,10,9.85,5.6,,7.1,6.35,9.9,6.2,8.1,8.1,5.1,,5.1,5.1,8.1,9.5,9.9,9,2,5.5,6999.04997,356.0403795,7.1,6,2,5,7.5,252.67,8,0.012853276,6,7,2,3.1,2.55,1,9.7,0.348031946,3.9,4.3,1.2,0.4,4.7,9.1,6.9,5.2,,3.2,,2,2.6,9.5,9.014989469,0.8,5.2,3.9,9.6,4.4,2,5.3,6.4,0,2.5
Malta,MLT,4.7,0.3,1.9,0.3,0.7,5.2,0.1,1,0.45,2,1.4,5.2,5.3,9.2,7.2,4.9,3.9,3.9,1,1,2.6,3.25,2.9,4.1,Medium,91,0.3,4.918,0,0,,0,10,6.7,9.5,,2.1,7.1,4.7,4.7,4.6,3.1,3.9,3.9,0.4,4.2,2.3,0.2,2.7,,1.45,0,0.1,1,1,4,2.5,3.25,3.25,1,0.3,,2.6,1.1,1.9,0,0,0,,0.6,0.3,0.7,10.45,3.4,0.023729668,7,5.2,0.2,,0.2,0.2,,2.04E-05,0,0.1,2,0,0.9,0,0.45,2,6,5.9,6,4,5.3,0.1,843.75,10,5.1,5.2,1.2,3.1,7,3.8,6.8,9.2,7.2
Marshall Islands,MHL,4.7,4,,8.2,5.4,0,6.2,5,4.3,4.2,4.8,3.6,5.8,,4.7,4.8,8.1,8.1,6.9,6.9,7.6,6.3,7,5.4,High,44,4,,1.8,1.9,1.7,1.8,8.4,2.3,7.7,,,6.1,4.7,4.7,,8.1,8.1,8.1,8.9,,8.9,3.2,6.3,4.6,4.7,7,,6.9,6.9,5.1,7.5,6.3,6.3,6.9,4,,,,,128.64057,2188.099709,10,10,4.7,8.2,5.4,0,0,0,0,0,,,,8.7,,0.333282305,3.7,6.2,10,0,4.3,,4.3,4.2,1,0,1,4,1.7,1,144.4444444,10,5.5,3.6,0.4,8.8,8.2,5.8,,,4.7
Mauritania,MRT,6.3,8.3,5.1,4.5,6.6,6.6,1.5,2.7,3.3,3.8,5.4,3.5,6,0,2.4,4.1,6.9,6.9,7.8,7.8,7.4,7.45,7.4,5.8,High,27,7.5,15.003,5.7,4.9,8.4,6.3,2.1,8.7,5.4,8.8,,6.3,6.3,6.3,7.2,6.5,6.9,6.9,9.6,9.6,9.6,3.1,,3.7,3.4,9.6,8.5,7.8,7.8,7.4,7.5,7.45,7.45,7.8,7.5,8.9,8.3,1.9,5.1,1702.14798,376.1072833,7.5,5.7,0.4,4.5,6.6,86.373,6.5,0.019085012,6.6,6.6,1,0.3,0.65,1.8,1.3,0.188939695,2.1,1.5,3.5,1.8,,3.3,3.3,3.8,4.1,,4.1,2,3.1,7.7,1.455321626,0,3.9,3.5,7.8,4.9,4.8,5.8,6.1,0,2.4
Mauritius,MUS,3,2.1,3.8,1.1,2.3,0,0.7,2,,0.9,1.6,6.4,4.6,8.8,7.2,5,4,4,3.4,3.4,3.7,3.15,3.4,3.7,Medium,119,2.1,5.102,0.5,0,,0.3,9.3,0,4.1,,3.7,4.3,3,3,4.8,3.2,4,4,4.9,5.8,5.35,0.8,0.7,2.5,1.333333333,6.1,0.7,3.4,3.4,3.8,2.5,3.15,3.15,3.4,2.1,,4.9,2.7,3.8,155.92,122.8035631,2.5,0.3,0.6,1.1,2.3,0.015,0,1.18E-05,0,0,1.8,,1.8,0.2,,0,0,0.7,3.5,0.5,,,,0.9,5.6,5.3,5.6,8,6.3,2.8,137.9310345,10,6.4,6.4,1.8,2.5,3.6,2.6,6.6,8.8,7.2
Mexico,MEX,3.3,4.1,4.6,0.4,3.3,6.4,0.9,1.2,1.2,2.8,3.1,5.2,6.6,4.4,5.2,4.2,6.2,6.2,3.6,3.6,5,1.95,3.6,3.7,Medium,119,2.7,8.654,1,0.1,1.2,0.8,6,3,8,1.8,4.4,4.6,3.3,3.3,7.1,5.3,6.2,6.2,4.4,8.2,6.3,0.3,0.2,1.4,0.633333333,6.9,0.4,3.6,3.6,1.4,2.5,1.95,1.95,3.6,2.7,5.2,4.5,4.6,4.6,1426.01946,11.17784477,0.2,0,1,0.4,3.3,378.396,8.6,0.002966055,4.2,6.4,0.6,0.7,0.65,0.4,0,0.226425971,2.5,0.9,2.4,0,1.9,0.5,1.2,2.8,9.5,9,9.5,8,8.8,1.1,18.51899483,1.8,1.5,5.2,1,5.4,6.7,4.4,8.8,4.4,5.2
Micronesia,FSM,3.6,5.7,3.8,7.3,5.6,0,5,5,5.7,4.2,4.9,5.4,6.1,5.2,5.5,5.2,5.3,5.3,5.3,5.3,5.3,7.5,6.5,5,High,56,5.7,10.693,1.3,3.6,,2.5,7.4,2.9,2.3,,,4.2,3.6,3.6,,5.3,5.3,5.3,,,,4.4,8,5.8,6.066666667,8.7,1,5.3,5.3,,7.5,7.5,7.5,5.3,5.7,,,3.8,3.8,315.68417,2773.757985,10,10,1.9,7.3,5.6,0,0,0,0,0,,,,3,,0.621521646,6.9,5,10,0,5.7,,5.7,4.2,,,,,,5.4,54.28571429,5.4,5.4,5.4,,9.2,2.9,6.1,,5.2,5.5
Moldova Republic of,MDA,3.8,2.9,1.6,2.5,2.5,1,1.1,3,2.2,1.9,2.2,5.4,6.4,7.2,6.6,4.8,6.4,6.4,3.3,3.3,5,4.5,4.8,4.4,Medium,77,3.8,5.105,2.6,1.8,1.3,1.9,7,0.2,4.3,7.1,,4.7,3.8,3.8,6.8,5.9,6.4,6.4,2,2.7,2.35,1.9,1.2,3.6,2.233333333,8.5,0.2,3.3,3.3,4,5,4.5,4.5,3.3,3.8,2,3,0.2,1.6,190.8492,47.20183575,0.9,1.3,5.4,2.5,2.5,0.522,0,0.000129104,1.9,1,1.2,1.9,1.55,1.7,,0,0,1.1,5.9,0,3.1,1.3,2.2,1.9,5.1,2.9,5.1,8,5.3,0.7,127.838315,10,5.4,5.4,0.1,5.7,7.8,4.5,8.3,7.2,6.6
Mongolia,MNG,3.8,4.8,3.1,2.7,3.9,0,2.6,3.9,2.1,2.3,3.1,4.5,5.5,2,3.5,3.3,6,6,3.6,3.6,4.9,3.2,4.1,3.7,Medium,119,3.3,11.74,4.6,2.8,2.9,3.4,1,3.8,6.8,4.3,,4,3.8,3.8,6.5,5.5,6,6,2.8,1.3,2.05,0,0.2,10,3.4,8.6,0.5,3.6,3.6,1.4,5,3.2,3.2,3.6,3.3,6,4.3,1.8,3.1,843.19693,261.4429552,5.2,1.9,1.1,2.7,3.9,0.009,0,2.79E-06,0,0,0.2,0,0.1,7.8,,5.27E-06,0,2.6,4.9,2.8,3.1,1.1,2.1,2.3,4.6,4.2,4.6,10,6.3,4.9,4.183938824,0.3,2.6,4.5,0.3,3.4,2.9,2.2,8.8,2,3.5
Montenegro,MNE,2.7,1.3,1.7,2,1.6,1.8,0.2,0.6,0.3,0.7,1.2,5.1,4,7.2,5.9,3.9,5.1,5.1,3.2,3.2,4.2,5.15,4.7,3.7,Medium,119,1.7,5.872,0.2,0.5,,0.4,5.6,1,6.7,3,3,3.9,2.7,2.7,5.5,4.7,5.1,5.1,4.2,5.1,4.65,2,2.7,,2.35,5.6,0.1,3.2,3.2,5.3,5,5.15,5.15,3.2,1.7,0.9,1.6,1.7,1.7,12.04,19.17234087,0.4,1.9,3.6,2,1.6,0.898,0,0.001429964,3.5,1.8,0.2,0.3,0.25,0.3,,6.37E-06,0,0.2,1.2,0,,0.3,0.3,0.7,4.4,5.7,4.4,2,4,4.2,81.78438662,8.2,6.2,5.1,0.3,1,3.8,1.7,6.3,7.2,5.9
Morocco,MAR,4.1,6,5.1,1.1,4.6,2.6,0.5,0,2.7,1.5,3.2,5.1,5.9,4.4,5,4.2,5.7,5.7,4.5,4.5,5.1,3.75,4.5,4.3,Medium,80,4.5,9.241,1.3,2.2,,1.8,6.4,4.3,6.2,1.1,8.1,5.2,4.1,4.1,5.9,5.4,5.7,5.7,8.2,8.7,8.45,0,0,0,0,8.6,0.8,4.5,4.5,2.5,5,3.75,3.75,4.5,4.5,7.1,6.6,3.6,5.1,1208.36533,33.13152782,0.7,0.5,2,1.1,4.6,7.775,3,0.000213179,2.2,2.6,0.2,0.2,0.2,1.8,0,0.0001899,0,0.5,0,0,,2.7,2.7,1.5,7.3,7.6,7.3,6,7,3.5,29.12838898,2.8,3.2,5.1,5,3.9,8.2,5.7,6,4.4,5
